x-axis,1,2,time,in,out,
second,Volt,Volt,t,1,2,
-0.1,-0.156,0.0804,0,2.76,0.859,
-0.0998,-0.0744,0.0804,0.0002,2.85,0.859,-2.919598
-0.0996,0.0191,0.0804,0.0004,2.94,0.859,-0.779
-0.0994,0.127,0.0804,0.0006,3.05,0.859,-2.92
-0.0992,0.22,0.0804,0.0008,3.14,0.859,
-0.099,0.312,0.0804,0.001,3.23,0.859,
-0.0988,0.39,0.0804,0.0012,3.31,0.859,
-0.0986,0.438,0.0824,0.0014,3.36,0.861,
-0.0984,0.459,0.0854,0.0016,3.38,0.864,
-0.0982,0.44,0.0905,0.0018,3.36,0.87,
-0.098,0.367,0.0955,0.002,3.29,0.875,
-0.0978,0.248,0.101,0.0022,3.17,0.88,
-0.0976,0.0915,0.101,0.0024,3.01,0.88,
-0.0974,-0.136,0.0955,0.0026,2.78,0.875,
-0.0972,-0.376,0.0905,0.0028,2.54,0.87,
-0.097,-0.663,0.0804,0.003,2.26,0.859,
-0.0968,-0.962,0.0804,0.0032,1.96,0.859,
-0.0966,-1.24,0.0754,0.0034,1.68,0.854,
-0.0964,-1.52,0.0593,0.0036,1.4,0.838,
-0.0962,-1.75,0.0231,0.0038,1.17,0.802,
-0.096,-1.93,0,0.004,0.985,0.779,
-0.0958,-2.08,-0.00603,0.0042,0.843,0.773,
-0.0956,-2.16,-0.0312,0.0044,0.761,0.748,
-0.0954,-2.2,-0.0714,0.0046,0.721,0.708,
-0.0952,-2.2,-0.0844,0.0048,0.722,0.695,
-0.095,-2.17,-0.0955,0.005,0.749,0.684,
-0.0948,-2.12,-0.129,0.0052,0.797,0.65,
-0.0946,-2.07,-0.158,0.0054,0.845,0.621,
-0.0944,-2.02,-0.166,0.0056,0.904,0.613,
-0.0942,-1.97,-0.184,0.0058,0.947,0.595,
-0.094,-1.93,-0.221,0.006,0.99,0.558,
-0.0938,-1.89,-0.241,0.0062,1.03,0.538,
-0.0936,-1.85,-0.246,0.0064,1.07,0.533,
-0.0934,-1.79,-0.262,0.0066,1.13,0.517,
-0.0932,-1.72,-0.289,0.0068,1.2,0.49,
-0.093,-1.61,-0.312,0.007,1.31,0.467,
-0.0928,-1.47,-0.322,0.0072,1.45,0.457,
-0.0926,-1.31,-0.327,0.0074,1.61,0.452,
-0.0924,-1.1,-0.33,0.0076,1.82,0.449,
-0.0922,-0.883,-0.337,0.0078,2.04,0.442,
-0.092,-0.653,-0.342,0.008,2.27,0.437,
-0.0918,-0.425,-0.342,0.0082,2.49,0.437,
-0.0916,-0.244,-0.34,0.0084,2.68,0.439,
-0.0914,-0.0844,-0.337,0.0086,2.84,0.442,
-0.0912,-0.00402,-0.332,0.0088,2.92,0.447,
-0.091,0.0201,-0.327,0.009,2.94,0.452,
-0.0908,-0.0362,-0.327,0.0092,2.88,0.452,
-0.0906,-0.159,-0.327,0.0094,2.76,0.452,
-0.0904,-0.364,-0.327,0.0096,2.56,0.452,
-0.0902,-0.606,-0.327,0.0098,2.31,0.452,
-0.09,-0.894,-0.327,0.01,2.03,0.452,
-0.0898,-1.2,-0.333,0.0102,1.72,0.446,
-0.0896,-1.47,-0.351,0.0104,1.45,0.428,
-0.0894,-1.74,-0.378,0.0106,1.18,0.401,
-0.0892,-1.94,-0.397,0.0108,0.98,0.382,
-0.089,-2.07,-0.407,0.011,0.849,0.372,
-0.0888,-2.12,-0.413,0.0112,0.803,0.366,
-0.0886,-2.09,-0.441,0.0114,0.827,0.338,
-0.0884,-1.98,-0.47,0.0116,0.942,0.309,
-0.0882,-1.81,-0.482,0.0118,1.11,0.297,
-0.088,-1.57,-0.487,0.012,1.35,0.292,
-0.0878,-1.28,-0.488,0.0122,1.64,0.291,
-0.0876,-0.994,-0.492,0.0124,1.93,0.287,
-0.0874,-0.666,-0.497,0.0126,2.25,0.282,
-0.0872,-0.374,-0.497,0.0128,2.55,0.282,
-0.087,-0.0955,-0.492,0.013,2.82,0.287,
-0.0868,0.159,-0.487,0.0132,3.08,0.292,
-0.0866,0.359,-0.485,0.0134,3.28,0.294,
-0.0864,0.55,-0.479,0.0136,3.47,0.3,
-0.0862,0.671,-0.468,0.0138,3.59,0.311,
-0.086,0.769,-0.442,0.014,3.69,0.337,
-0.0858,0.821,-0.416,0.0142,3.74,0.363,
-0.0856,0.839,-0.407,0.0144,3.76,0.372,
-0.0854,0.826,-0.402,0.0146,3.75,0.377,
-0.0852,0.787,-0.398,0.0148,3.71,0.381,
-0.085,0.719,-0.382,0.015,3.64,0.397,
-0.0848,0.648,-0.361,0.0152,3.57,0.418,
-0.0846,0.568,-0.343,0.0154,3.49,0.436,
-0.0844,0.475,-0.332,0.0156,3.39,0.447,
-0.0842,0.401,-0.327,0.0158,3.32,0.452,
-0.084,0.332,-0.327,0.016,3.25,0.452,
-0.0838,0.294,-0.322,0.0162,3.21,0.457,
-0.0836,0.269,-0.32,0.0164,3.19,0.459,
-0.0834,0.282,-0.312,0.0166,3.2,0.467,
-0.0832,0.319,-0.303,0.0168,3.24,0.476,
-0.083,0.387,-0.291,0.017,3.31,0.488,
-0.0828,0.483,-0.275,0.0172,3.4,0.504,
-0.0826,0.589,-0.259,0.0174,3.51,0.52,
-0.0824,0.708,-0.248,0.0176,3.63,0.531,
-0.0822,0.818,-0.246,0.0178,3.74,0.533,
-0.082,0.925,-0.236,0.018,3.84,0.543,
-0.0818,0.992,-0.224,0.0182,3.91,0.555,
-0.0816,1.03,-0.199,0.0184,3.95,0.58,
-0.0814,1.01,-0.178,0.0186,3.93,0.601,
-0.0812,0.959,-0.166,0.0188,3.88,0.613,
-0.081,0.849,-0.161,0.019,3.77,0.618,
-0.0808,0.688,-0.156,0.0192,3.61,0.623,
-0.0806,0.509,-0.149,0.0194,3.43,0.63,
-0.0804,0.282,-0.141,0.0196,3.2,0.638,
-0.0802,0.0643,-0.136,0.0198,2.98,0.643,
-0.08,-0.161,-0.136,0.02,2.76,0.643,
-0.0798,-0.369,-0.142,0.0202,2.55,0.637,
-0.0796,-0.553,-0.148,0.0204,2.37,0.631,
-0.0794,-0.715,-0.156,0.0206,2.21,0.623,
-0.0792,-0.814,-0.161,0.0208,2.11,0.618,
-0.079,-0.874,-0.161,0.021,2.05,0.618,
-0.0788,-0.883,-0.166,0.0212,2.04,0.613,
-0.0786,-0.856,-0.168,0.0214,2.06,0.611,
-0.0784,-0.786,-0.174,0.0216,2.13,0.605,
-0.0782,-0.699,-0.181,0.0218,2.22,0.598,
-0.078,-0.583,-0.191,0.022,2.34,0.588,
-0.0778,-0.47,-0.197,0.0222,2.45,0.582,
-0.0776,-0.361,-0.204,0.0224,2.56,0.575,
-0.0774,-0.251,-0.201,0.0226,2.67,0.578,
-0.0772,-0.166,-0.201,0.0228,2.75,0.578,
-0.077,-0.0905,-0.201,0.023,2.83,0.578,
-0.0768,-0.0372,-0.196,0.0232,2.88,0.583,
-0.0766,-0.00101,-0.194,0.0234,2.92,0.585,
-0.0764,0.0241,-0.186,0.0236,2.94,0.593,
-0.0762,0.0402,-0.181,0.0238,2.96,0.598,
-0.076,0.0452,-0.176,0.024,2.96,0.603,
-0.0758,0.0442,-0.176,0.0242,2.96,0.603,
-0.0756,0.0352,-0.171,0.0244,2.95,0.608,
-0.0754,0.0332,-0.171,0.0246,2.95,0.608,
-0.0752,0.0251,-0.166,0.0248,2.94,0.613,
-0.075,0.0302,-0.166,0.025,2.95,0.613,
-0.0748,0.0302,-0.166,0.0252,2.95,0.613,
-0.0746,0.0402,-0.166,0.0254,2.96,0.613,
-0.0744,0.0553,-0.166,0.0256,2.97,0.613,
-0.0742,0.0693,-0.166,0.0258,2.99,0.613,
-0.074,0.0905,-0.161,0.026,3.01,0.618,
-0.0738,0.122,-0.161,0.0262,3.04,0.618,
-0.0736,0.152,-0.161,0.0264,3.07,0.618,
-0.0734,0.192,-0.161,0.0266,3.11,0.618,
-0.0732,0.229,-0.156,0.0268,3.15,0.623,
-0.073,0.266,-0.151,0.027,3.19,0.628,
-0.0728,0.31,-0.141,0.0272,3.23,0.638,
-0.0726,0.351,-0.136,0.0274,3.27,0.643,
-0.0724,0.395,-0.123,0.0276,3.31,0.656,
-0.0722,0.43,-0.116,0.0278,3.35,0.663,
-0.072,0.467,-0.101,0.028,3.39,0.678,
-0.0718,0.493,-0.0905,0.0282,3.41,0.689,
-0.0716,0.51,-0.0884,0.0284,3.43,0.691,
-0.0714,0.521,-0.0854,0.0286,3.44,0.694,
-0.0712,0.523,-0.0854,0.0288,3.44,0.694,
-0.071,0.508,-0.0804,0.029,3.43,0.699,
-0.0708,0.49,-0.0804,0.0292,3.41,0.699,
-0.0706,0.458,-0.0754,0.0294,3.38,0.704,
-0.0704,0.411,-0.0724,0.0296,3.33,0.707,
-0.0702,0.361,-0.0663,0.0298,3.28,0.713,
-0.07,0.296,-0.0603,0.03,3.22,0.719,
-0.0698,0.237,-0.0503,0.0302,3.16,0.729,
-0.0696,0.173,-0.0503,0.0304,3.09,0.729,
-0.0694,0.0965,-0.0452,0.0306,3.02,0.734,
-0.0692,0.0382,-0.0412,0.0308,2.96,0.738,
-0.069,-0.0201,-0.0452,0.031,2.9,0.734,
-0.0688,-0.0613,-0.0452,0.0312,2.86,0.734,
-0.0686,-0.0804,-0.0452,0.0314,2.84,0.734,
-0.0684,-0.0905,-0.0452,0.0316,2.83,0.734,
-0.0682,-0.0673,-0.0452,0.0318,2.85,0.734,
-0.068,-0.0352,-0.0452,0.032,2.88,0.734,
-0.0678,0.0201,-0.0452,0.0322,2.94,0.734,
-0.0676,0.0975,-0.0432,0.0324,3.02,0.736,
-0.0674,0.194,-0.0402,0.0326,3.11,0.739,
-0.0672,0.29,-0.0312,0.0328,3.21,0.748,
-0.067,0.402,-0.0251,0.033,3.32,0.754,
-0.0668,0.53,-0.0151,0.0332,3.45,0.764,
-0.0666,0.642,-0.0101,0.0334,3.56,0.769,
-0.0664,0.77,-0.00503,0.0336,3.69,0.774,
-0.0662,0.887,-0.00503,0.0338,3.81,0.774,
-0.066,1.01,0,0.034,3.92,0.779,
-0.0658,1.11,0.0111,0.0342,4.03,0.79,
-0.0656,1.2,0.0291,0.0344,4.12,0.808,
-0.0654,1.3,0.0563,0.0346,4.22,0.835,
-0.0652,1.37,0.0704,0.0348,4.29,0.849,
-0.065,1.43,0.0754,0.035,4.35,0.854,
-0.0648,1.45,0.0814,0.0352,4.37,0.86,
-0.0646,1.46,0.103,0.0354,4.38,0.882,
-0.0644,1.44,0.132,0.0356,4.36,0.911,
-0.0642,1.39,0.15,0.0358,4.31,0.929,
-0.064,1.29,0.156,0.036,4.21,0.935,
-0.0638,1.16,0.161,0.0362,4.08,0.94,
-0.0636,0.993,0.168,0.0364,3.91,0.947,
-0.0634,0.767,0.181,0.0366,3.69,0.96,
-0.0632,0.538,0.19,0.0368,3.46,0.969,
-0.063,0.266,0.191,0.037,3.19,0.97,
-0.0628,-0.0161,0.186,0.0372,2.9,0.965,
-0.0626,-0.295,0.179,0.0374,2.62,0.958,
-0.0624,-0.601,0.168,0.0376,2.32,0.947,
-0.0622,-0.868,0.161,0.0378,2.05,0.94,
-0.062,-1.12,0.156,0.038,1.8,0.935,
-0.0618,-1.33,0.139,0.0382,1.59,0.918,
-0.0616,-1.48,0.107,0.0384,1.44,0.886,
-0.0614,-1.59,0.0824,0.0386,1.33,0.861,
-0.0612,-1.62,0.0754,0.0388,1.3,0.854,
-0.061,-1.6,0.0603,0.039,1.32,0.839,
-0.0608,-1.5,0.0332,0.0392,1.42,0.812,
-0.0606,-1.36,0.00804,0.0394,1.56,0.787,
-0.0604,-1.15,0,0.0396,1.77,0.779,
-0.0602,-0.921,-0.00503,0.0398,2,0.774,
-0.06,-0.648,-0.00503,0.04,2.27,0.774,
-0.0598,-0.365,-0.0101,0.0402,2.55,0.769,
-0.0596,-0.0864,-0.0101,0.0404,2.83,0.769,
-0.0594,0.209,-0.0101,0.0406,3.13,0.769,
-0.0592,0.462,-0.00503,0.0408,3.38,0.774,
-0.059,0.709,-0.00503,0.041,3.63,0.774,
-0.0588,0.937,0,0.0412,3.86,0.779,
-0.0586,1.12,0.00503,0.0414,4.04,0.784,
-0.0584,1.29,0.0261,0.0416,4.21,0.805,
-0.0582,1.43,0.0533,0.0418,4.34,0.832,
-0.058,1.53,0.0754,0.042,4.45,0.854,
-0.0578,1.62,0.0804,0.0422,4.54,0.859,
-0.0576,1.68,0.0874,0.0424,4.6,0.866,
-0.0574,1.72,0.122,0.0426,4.64,0.901,
-0.0572,1.75,0.149,0.0428,4.67,0.928,
-0.057,1.75,0.156,0.043,4.67,0.935,
-0.0568,1.72,0.168,0.0432,4.64,0.947,
-0.0566,1.66,0.195,0.0434,4.58,0.974,
-0.0564,1.57,0.224,0.0436,4.49,1,
-0.0562,1.45,0.236,0.0438,4.37,1.02,
-0.056,1.28,0.241,0.044,4.2,1.02,
-0.0558,1.07,0.246,0.0442,3.99,1.03,
-0.0556,0.849,0.248,0.0444,3.77,1.03,
-0.0554,0.572,0.254,0.0446,3.49,1.03,
-0.0552,0.308,0.256,0.0448,3.23,1.04,
-0.055,0.0151,0.251,0.045,2.93,1.03,
-0.0548,-0.263,0.246,0.0452,2.66,1.03,
-0.0546,-0.523,0.241,0.0454,2.4,1.02,
-0.0544,-0.793,0.238,0.0456,2.13,1.02,
-0.0542,-1,0.232,0.0458,1.92,1.01,
-0.054,-1.2,0.216,0.046,1.72,0.995,
-0.0538,-1.34,0.18,0.0462,1.58,0.959,
-0.0536,-1.44,0.161,0.0464,1.48,0.94,
-0.0534,-1.52,0.153,0.0466,1.4,0.932,
-0.0532,-1.56,0.129,0.0468,1.36,0.908,
-0.053,-1.56,0.0955,0.047,1.36,0.875,
-0.0528,-1.55,0.0794,0.0472,1.37,0.858,
-0.0526,-1.52,0.0734,0.0474,1.4,0.852,
-0.0524,-1.47,0.0543,0.0476,1.45,0.833,
-0.0522,-1.42,0.0271,0.0478,1.5,0.806,
-0.052,-1.35,0.00503,0.048,1.57,0.784,
-0.0518,-1.28,0,0.0482,1.64,0.779,
-0.0516,-1.21,-0.00503,0.0484,1.71,0.774,
-0.0514,-1.12,-0.0131,0.0486,1.8,0.766,
-0.0512,-1.05,-0.0251,0.0488,1.87,0.754,
-0.051,-0.955,-0.0452,0.049,1.96,0.734,
-0.0508,-0.854,-0.0613,0.0492,2.07,0.718,
-0.0506,-0.759,-0.0724,0.0494,2.16,0.707,
-0.0504,-0.652,-0.0784,0.0496,2.27,0.701,
-0.0502,-0.55,-0.0804,0.0498,2.37,0.699,
-0.05,-0.447,-0.0804,0.05,2.47,0.699,
-0.0498,-0.342,-0.0804,0.0502,2.58,0.699,
-0.0496,-0.249,-0.0804,0.0504,2.67,0.699,
-0.0494,-0.138,-0.0804,0.0506,2.78,0.699,
-0.0492,-0.0412,-0.0804,0.0508,2.88,0.699,
-0.049,0.0704,-0.0804,0.051,2.99,0.699,
-0.0488,0.178,-0.0804,0.0512,3.1,0.699,
-0.0486,0.285,-0.0804,0.0514,3.21,0.699,
-0.0484,0.416,-0.0774,0.0516,3.34,0.702,
-0.0482,0.544,-0.0704,0.0518,3.46,0.709,
-0.048,0.663,-0.0603,0.052,3.58,0.719,
-0.0478,0.801,-0.0482,0.0522,3.72,0.731,
-0.0476,0.926,-0.0261,0.0524,3.85,0.753,
-0.0474,1.05,-0.0101,0.0526,3.97,0.769,
-0.0472,1.15,-0.00503,0.0528,4.07,0.774,
-0.047,1.24,0,0.053,4.16,0.779,
-0.0468,1.29,0.00704,0.0532,4.21,0.786,
-0.0466,1.32,0.0291,0.0534,4.24,0.808,
